wepp_id,final_Sdyd
1,7.676414306237662
2,3.2217171228366652
3,3.1161501348405225
5,2.953308402206644
7,4.044105439787925
10,8.40896784767609
11,9.767267273872017
18,2.4872604469906445
23,9.466524168047812
27,4.218379030515653
28,2.7627745383494897
29,7.349570090614837
30,3.863296979017017
34,4.792485214073085
39,6.324833572772707
44,6.985991660985228
54,5.6179487031250455
57,3.7938675314689556
58,3.9470964680086307
65,4.281842319923296
69,3.898493709700707
77,5.338185634087173
83,6.222495385452428
86,2.5672799793539007
89,3.119258794619472
97,0.44929811021148713
104,5.13586655504642
106,2.816693326824171
110,2.463551657001638
116,0.41421051120816266
120,4.358051137836524
126,6.155920383916398
131,3.9855557203158845
137,7.731267819339215
138,1.7641090551272813
140,4.627936964595469
141,8.952783436273682
143,2.452836100103717
149,4.066560773760142
150,2.070321492696749
154,3.0652795436731117
155,3.2220051593681247
162,5.1246261901498595
174,3.9372088788166977
176,2.262656355112754
180,1.5025253979544666
187,2.647163241242681
192,5.715146097693645
209,1.7962134854953697
210,1.295639873369988
211,3.0844805489072895
214,4.992820636556227
223,6.281164455827049
226,4.726267431761762
250,1.0732017016794742
258,1.632563913649473
263,0.1571531670072776
264,2.429334551246289
265,4.342838791150237
266,0.9036739561772383
268,3.7391787598059953
295,7.288825937691804
299,4.456133367681331
