wepp_id,treatment
1,0.5 tons/acre
3,0.5 tons/acre
5,0.5 tons/acre
11,0.5 tons/acre
18,0.5 tons/acre
23,0.5 tons/acre
28,0.5 tons/acre
29,0.5 tons/acre
30,0.5 tons/acre
39,0.5 tons/acre
44,0.5 tons/acre
54,0.5 tons/acre
58,0.5 tons/acre
83,0.5 tons/acre
86,0.5 tons/acre
104,0.5 tons/acre
110,0.5 tons/acre
126,0.5 tons/acre
137,0.5 tons/acre
138,0.5 tons/acre
141,0.5 tons/acre
143,0.5 tons/acre
176,0.5 tons/acre
209,0.5 tons/acre
211,0.5 tons/acre
214,0.5 tons/acre
223,0.5 tons/acre
258,0.5 tons/acre
263,0.5 tons/acre
266,0.5 tons/acre
295,0.5 tons/acre
34,1 tons/acre
97,1 tons/acre
116,1 tons/acre
120,1 tons/acre
140,1 tons/acre
154,1 tons/acre
155,1 tons/acre
180,1 tons/acre
192,1 tons/acre
210,1 tons/acre
250,1 tons/acre
265,1 tons/acre
10,2 tons/acre
89,2 tons/acre
149,2 tons/acre
150,2 tons/acre
162,2 tons/acre
174,2 tons/acre
